Year ending September,Area name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Death or serious injury - unlawful driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes,Population mid-year estim
2024,Gloucestershire,48456,20264,10,35,4835,7804,7580,2034,390,14022,2399,1692,707,2401,272,594,4322,4034,3941,1036,425,4865,1479,
2024,Wiltshire,39715,16220,3,9,5380,6907,3921,1999,221,11145,1708,1008,700,2362,261,469,3694,2651,4330,1054,374,3491,881,
2024,WALES,261331,109468,22,69,28675,38414,42288,9882,1092,67851,9127,5747,3380,11796,1398,2317,25715,17498,27113,7283,2179,30176,6287,
2024,Dyfed-Powys,36752,17544,3,28,3850,6446,7217,1550,100,6947,1456,961,495,730,132,98,2161,2370,3900,1609,369,3872,861,
2024,Gwent,58154,23647,2,6,6430,8414,8795,1823,328,14385,2277,1426,851,3100,168,276,4870,3694,7051,1587,423,7264,1646,
2024,North Wales,53871,25586,4,8,6479,9468,9627,2366,161,12019,1843,1227,616,1225,191,269,4692,3799,5991,1343,453,4601,1351,
2024,South Wales,112554,42691,13,27,11916,14086,16649,4143,503,34500,3551,2133,1418,6741,907,1674,13992,7635,10171,2744,934,14439,2429,
2024,British Transport Police,81563,14511,8,0,3862,10319,322,2165,1924,35922,458,4,454,1759,13074,4282,4265,12084,8198,3480,842,13963,558,
2023,ENGLAND AND WALES,5524986,2067168,591,1220,566032,820579,678746,191186,79091,1773422,273076,187749,85327,397264,120146,70868,402482,509586,515571,181810,58793,539807,118138,
2023,ENGLAND,5183024,1941525,568,1165,533850,771905,634037,179399,76372,1676335,263506,181912,81594,384241,108073,63267,378127,479121,477729,170877,56034,493101,111652,
2023,North East,296542,111485,38,45,30513,39824,41065,10144,2254,86215,14487,10547,3940,16805,1668,2583,28255,22417,38506,7188,2636,30453,7661,
